FGs,F-score,Precision,Recall,Frequency
CC(C)=NNC(N)=O,0.0,0.0,0.0,1
CC(C)=NNC(N)=S,0.0,0.0,0.0,2
CC(C)=NO,0.0,0.0,0.0,1
CC(C)=O,0.0,0.0,0.0,1
CC(Cl)=C(C)Cl,0.0,0.0,0.0,1
CC(Cl)=C(Cl)Cl,0.0,0.0,0.0,1
CC(Cl)=C(F)Cl,0.0,0.0,0.0,2
CC(F)=C(C)F,0.0,0.0,0.0,1
CC(F)=C(Cl)Cl,0.0,0.0,0.0,1
CC(F)=C(F)Cl,0.0,0.0,0.0,1
CC(N)=C(C)C#N,0.0,0.0,0.0,3
CC(N)=CC#N,0.0,0.0,0.0,1
CC(N)=O,0.0,0.0,0.0,1
CC(N)=S,0.0,0.0,0.0,1
CC(N=c)=C1N(C)ccC(=O)N1C,0.0,0.0,0.0,3
CC(O)O,0.0,0.0,0.0,1
CC1(C(N)=O)NCCS1,0.0,0.0,0.0,2
CC1(C)NC(=S)CN1N=O,0.0,0.0,0.0,2
CC1(C)NCCS1,0.0,0.0,0.0,2
CC1(C)OCCO1,0.0,0.0,0.0,1
CC1(O)CCC(=O)O1,0.0,0.0,0.0,1
CC1(O)CSC(=S)N1,0.0,0.0,0.0,1
CC12CCOC(=O)C1O2,0.0,0.0,0.0,4
CC1=C(C)C(=O)C(C)=C(C)C1=O,0.0,0.0,0.0,2
CC1=C(C)C(=O)CC1,0.0,0.0,0.0,1
CC1=C(C)C(=O)OC1=O,0.0,0.0,0.0,2
CC1=C(C)C(=O)ccC1=O,0.0,0.0,0.0,1
CC1=C(C)C(O)=CC(=O)C1=O,0.0,0.0,0.0,1
CC1=C(O)C(=O)CC1,0.0,0.0,0.0,2
CC1=C(O)ccC(=O)C1=O,0.0,0.0,0.0,1
CC1=CC(=O)C(C)=CC1=O,0.0,0.0,0.0,3
CC1=CC(=O)C=C(C)C1=O,0.0,0.0,0.0,4
CC1=CC(=O)C=CC1=O,0.0,0.0,0.0,2
CC1=CC(=O)CC1,0.0,0.0,0.0,1
CC1=CC(=O)ccC1=O,0.0,0.0,0.0,1
CC1=CC2(CC1)OCCO2,0.0,0.0,0.0,2
CC1=CC=C(C)CC1,0.0,0.0,0.0,1
CC1=CCCC(C)=C1,0.0,0.0,0.0,2
CC1=CCCC=C1,0.0,0.0,0.0,1
CC1=NCCN1,0.0,0.0,0.0,1
CC1=NCCO1,0.0,0.0,0.0,1
CC1=NCCS1,0.0,0.0,0.0,1
